player_name,season,games_missed,teams,injury_notes,player_id
Kevin Durant,2014-15,4,Thunder,fractured right toe (out indefinitely) | surgery on right toe to repair fracture (out indefinitely) | surgery on right foot (out for season),201142
Kevin Durant,2015-16,2,Thunder,strained left hamstring (DTD) | toe injury (DTD),201142
Kevin Durant,2016-17,2,Warriors,sprained MCL in left knee (out indefinitely) | strained left calf (DTD),201142
Kevin Durant,2017-18,1,Warriors,sprained left ankle (DTD),201142
Kevin Durant,2018-19,3,Warriors,sprained right ankle (DTD) | strained right calf (DTD) | torn right Achilles tendon (out for season),201142
Kevin Garnett,2014-15,1,Timberwolves,sore left knee (out for season),708
Kevin Huerter,2018-19,3,Hawks,back injury (DTD) | sore neck (DTD),1628989
Kevin Knox,2018-19,1,Knicks,sprained left ankle (DTD),1628995
Kevin Love,2014-15,5,Cavaliers,back spasms (DTD) | right eye injury (DTD) | separated left shoulder (out for season),201567
Kevin Love,2015-16,5,Cavaliers,bruised left quadriceps (DTD) | sore leg (DTD) | left knee injury (DTD),201567
Kevin Love,2016-17,5,Cavaliers,bruised left knee (DTD) | illness (DTD) | sore lower back (DTD),201567
Kevin Love,2017-18,4,Cavaliers,sore left hip (DTD) | fractured left hand (out indefinitely) | concussion (out indefinitely),201567
Kevin Love,2018-19,2,Cavaliers,bruised lower back (DTD) | sore left shoulder (DTD),201567
Kevin Martin,2014-15,5,Timberwolves,fractured right wrist (DTD) | surgery on right wrist to repair fracture (out indefinitely) | illness (DTD),2755
Kevin Martin,2015-16,3,"Spurs, Timberwolves",wrist injury (DTD) | sore right wrist (DTD) | illness (DTD),2755
Kevin Seraphin,2014-15,2,Wizards,sprained right ankle (DTD) | flu (DTD),202338
Kevin Seraphin,2015-16,3,Knicks,sore right knee (DTD) | bruised right rib (DTD) | sore left foot (DTD),202338
Kevin Seraphin,2016-17,3,Pacers,sore left knee (DTD),202338
Kevon Looney,2015-16,1,Warriors,right hip injury (out for season),1626172
Kevon Looney,2016-17,2,Warriors,strained left hip (DTD) | strained left hip (out for season),1626172
Kevon Looney,2018-19,2,Warriors,pelvic injury (DTD) | fractured collarbone (out indefinitely),1626172
Khris Middleton,2015-16,1,Bucks,strained left thigh (DTD),203114
Khris Middleton,2018-19,2,Bucks,right finger injury (DTD) | left groin injury (DTD),203114
Khyri Thomas,2018-19,1,Pistons,sore lower back (DTD),1629017
Kirk Hinrich,2014-15,1,Bulls,sprained left knee (DTD),2550
Kirk Hinrich,2015-16,2,Bulls,left hip pointer (DTD) | bruised left quadricep (DTD),2550
Klay Thompson,2014-15,1,Warriors,sprained right hand (DTD),202691
Klay Thompson,2015-16,2,Warriors,sore back (DTD) | sprained right ankle (DTD),202691
Klay Thompson,2016-17,1,Warriors,sore right heel (DTD),202691
Klay Thompson,2018-19,4,Warriors,illness (DTD) | sore right knee (DTD) | strained left hamstring (DTD),202691
Kobe Bryant,2013-14,1,Lakers,fractured left tibia (out for season),977
Kobe Bryant,2014-15,2,Lakers,torn rotator cuff in right shoulder (out for season) | surgery on right shoulder to repair torn rotator cuff (out for season),977
Kobe Bryant,2015-16,3,Lakers,sore right shoulder (DTD) | strained right Achilles (DTD),977
Kosta Koufos,2015-16,2,Kings,illness (DTD) | food poisoning (DTD),201585
Kostas Antetokounmpo,2018-19,3,Mavericks,illness (DTD) | hip flexor injury (DTD) | sore left knee (DTD),1628961
Kostas Papanikolaou,2014-15,3,Rockets,strained right knee (DTD) | sprained right ankle (DTD),203123
Kostas Papanikolaou,2015-16,1,Nuggets,sprained left ankle (DTD),203123
Kris Dunn,2016-17,1,Timberwolves,right hand injury (DTD),1627739
